Year,State,Burden Rate,Income per Capita,Taxes Paid to Own State Per Capita,Taxes Paid to Other States Per Capita,Total Taxes Paid Per Capita
2007,Maine,0.11,36401.69,2810.54,1089.17,3899.71
2007,Maryland,0.11,51017.43,4060.79,1588.30,5649.09
2007,Massachusetts,0.10,53566.48,3876.16,1669.92,5546.08
2007,Michigan,0.10,36727.65,2616.65,943.48,3560.13
2007,Minnesota,0.11,43679.31,3419.53,1180.78,4600.31
2007,Mississippi,0.09,29093.03,1802.30,845.49,2647.79
2007,Missouri,0.10,36550.32,2385.34,1090.21,3475.55
2007,Montana,0.09,35030.66,2043.00,1179.93,3222.93
2007,Nebraska,0.10,38938.94,2755.94,1174.47,3930.41
2007,Nevada,0.08,46871.85,2001.20,1580.67,3581.87
2007,New Hampshire,0.08,47052.54,1945.02,1727.94,3672.96
2007,New Jersey,0.12,54151.88,4601.19,1945.90,6547.09
2007,New Mexico,0.10,33633.95,2203.91,997.42,3201.33
2007,New York,0.12,51282.88,4840.58,1386.17,6226.75
2007,North Carolina,0.10,36331.22,2750.95,1030.33,3781.28
2007,North Dakota,0.10,35265.33,2304.21,1075.57,3379.78
2007,Ohio,0.10,37071.65,2914.64,947.71,3862.35
2007,Oklahoma,0.09,35785.71,2242.54,1056.15,3298.69
2007,Oregon,0.10,38283.54,2775.80,1121.38,3897.18
2007,Pennsylvania,0.11,41131.22,3142.42,1183.50,4325.92
2007,Rhode Island,0.11,42589.33,3108.43,1481.44,4589.87
2007,South Carolina,0.09,33816.14,2081.74,1004.82,3086.56
2007,South Dakota,0.08,37740.72,1616.02,1230.45,2846.47
2007,Tennessee,0.08,35680.53,1762.48,979.88,2742.36
2007,Texas,0.08,39425.96,2154.18,964.74,3118.92
2007,Utah,0.10,36307.44,2564.68,1138.31,3702.99
2007,Vermont,0.11,40865.49,3015.32,1375.05,4390.37
2007,Virginia,0.10,46706.00,3312.27,1393.93,4706.20
2007,Washington,0.09,47057.72,3076.02,1371.08,4447.10
2007,West Virginia,0.10,28948.80,1996.46,825.51,2821.97
2007,Wisconsin,0.11,40003.81,3210.35,1090.72,4301.07
2007,Wyoming,0.07,52664.33,1762.08,2038.01,3800.09
2006,Alabama,0.09,32461.22,1902.93,996.90,2899.83
2006,Alaska,0.06,39978.40,1170.76,1126.31,2297.07
2006,Arizona,0.09,37484.91,2170.89,1174.50,3345.39
2006,Arkansas,0.10,29806.51,2212.28,865.58,3077.86
2006,California,0.11,44275.56,3635.82,1155.86,4791.68
2006,Colorado,0.09,44403.23,2639.97,1379.87,4019.84
2006,Connecticut,0.12,56773.54,4368.72,2239.13,6607.85
2006,Delaware,0.10,42431.16,2243.68,1849.79,4093.47
2006,District of Columbia,0.11,57429.61,4388.88,2182.46,6571.34
2006,Florida,0.09,42977.40,2389.52,1349.81,3739.33
2006,Georgia,0.10,36738.69,2479.38,1069.05,3548.43
2006,Hawaii,0.10,40406.59,3043.30,1143.34,4186.64
2006,Idaho,0.10,34292.83,2187.04,1178.48,3365.52
2006,Illinois,0.10,42956.29,3019.53,1229.61,4249.14
2006,Indiana,0.09,34067.25,2168.50,948.20,3116.70
2006,Iowa,0.09,34960.13,2220.87,1043.86,3264.73
2006,Kansas,0.10,36500.79,2357.61,1212.72,3570.33
2006,Kentucky,0.10,31070.90,2176.80,886.97,3063.77
2006,Louisiana,0.09,32364.09,1839.37,909.93,2749.30
2006,Maine,0.11,35053.96,2837.47,1055.78,3893.25
2006,Maryland,0.11,48443.14,3630.74,1541.90,5172.64
2006,Massachusetts,0.11,50612.92,3732.66,1611.65,5344.31
2006,Michigan,0.10,35707.80,2543.46,946.37,3489.83
2006,Minnesota,0.11,41724.82,3269.96,1166.39,4436.35
2006,Mississippi,0.09,28109.51,1692.87,815.40,2508.27
2006,Missouri,0.10,35099.09,2270.03,1062.76,3332.79
2006,Montana,0.09,32876.94,1954.02,1147.58,3101.60
2006,Nebraska,0.10,36977.66,2625.90,1145.34,3771.24
2006,Nevada,0.08,46033.33,1893.62,1652.41,3546.03
2006,New Hampshire,0.08,44467.94,1821.92,1656.46,3478.38
2006,New Jersey,0.12,50734.48,4173.64,1846.35,6019.99
2006,New Mexico,0.09,31938.73,1980.73,984.92,2965.65
2006,New York,0.12,47006.57,4451.60,1310.24,5761.84
2006,North Carolina,0.10,34870.00,2600.28,1020.89,3621.17
2006,North Dakota,0.09,32979.89,2031.23,1046.18,3077.41
2006,Ohio,0.11,35572.93,2830.32,931.63,3761.95
2006,Oklahoma,0.09,34286.66,2149.41,1032.44,3181.85
2006,Oregon,0.10,36510.75,2689.30,1100.82,3790.12
2006,Pennsylvania,0.11,39129.87,2949.21,1142.16,4091.37
2006,Rhode Island,0.11,40195.03,3047.85,1413.70,4461.55
2006,South Carolina,0.09,32268.92,1883.74,980.73,2864.47
2006,South Dakota,0.07,35748.28,1444.77,1200.08,2644.85
2006,Tennessee,0.08,34457.48,1639.84,965.47,2605.31
2006,Texas,0.08,37620.52,1958.87,955.50,2914.37
2006,Utah,0.10,33943.02,2412.78,1105.12,3517.90
2006,Vermont,0.11,38929.43,3009.49,1317.18,4326.67
2006,Virginia,0.10,44649.25,3020.84,1368.23,4389.07
2006,Washington,0.09,43977.49,2796.62,1327.58,4124.20
2006,West Virginia,0.10,27838.99,1894.45,810.07,2704.52
2006,Wisconsin,0.11,38279.56,3111.13,1072.69,4183.82
2006,Wyoming,0.07,48031.36,1516.76,1960.91,3477.67
2005,Alabama,0.09,30627.99,1782.15,917.61,2699.76
2005,Alaska,0.06,37546.48,1165.21,1007.93,2173.14
2005,Arizona,0.09,34357.79,2085.46,1036.77,3122.23
2005,Arkansas,0.10,28314.37,2045.00,782.78,2827.78
2005,California,0.11,41214.78,3306.39,1024.67,4331.06
2005,Colorado,0.09,41177.00,2475.34,1225.81,3701.15
2005,Connecticut,0.12,52913.15,4195.40,2004.94,6200.34
2005,Delaware,0.09,40298.61,2173.45,1575.40,3748.85
2005,District of Columbia,0.12,52408.10,4290.56,1903.08,6193.64
2005,Florida,0.09,39583.95,2241.26,1203.06,3444.32
2005,Georgia,0.09,34457.97,2279.72,959.60,3239.32
2005,Hawaii,0.10,37579.15,2700.06,1014.21,3714.27
2005,Idaho,0.10,31811.77,2091.35,1046.37,3137.72
2005,Illinois,0.10,40213.60,2848.88,1099.87,3948.75
2005,Indiana,0.09,32561.83,2105.08,875.86,2980.94
2005,Iowa,0.09,33517.91,2176.70,964.36,3141.06
2005,Kansas,0.10,33935.82,2192.15,1080.82,3272.97
2005,Kentucky,0.10,29530.80,2122.78,826.92,2949.70
2005,Louisiana,0.09,28816.94,1764.57,757.76,2522.33
2005,Maine,0.11,33229.16,2526.34,969.58,3495.92
2005,Maryland,0.11,45335.48,3355.41,1400.31,4755.72
2005,Massachusetts,0.11,46999.37,3564.05,1412.58,4976.63
2005,Michigan,0.10,34652.54,2506.14,883.17,3389.31
2005,Minnesota,0.10,39735.90,3005.06,1070.42,4075.48
2005,Mississippi,0.09,26136.88,1544.86,709.92,2254.78
2005,Missouri,0.09,33385.75,2187.09,968.02,3155.11
2005,Montana,0.09,30341.48,1736.88,1025.60,2762.48
2005,Nebraska,0.10,35325.53,2545.79,1044.75,3590.54
2005,Nevada,0.08,43457.92,1820.62,1521.40,3342.02
2005,New Hampshire,0.08,42177.01,1768.33,1516.06,3284.39
2005,New Jersey,0.12,47685.57,3922.49,1673.12,5595.61
2005,New Mexico,0.08,29742.07,1636.16,874.22,2510.38
2005,New York,0.12,43326.34,4118.54,1162.88,5281.42
2005,North Carolina,0.10,32992.62,2416.90,924.12,3341.02
2005,North Dakota,0.09,30919.24,1769.89,947.30,2717.19
2005,Ohio,0.11,34122.95,2885.68,852.99,3738.67
2005,Oklahoma,0.09,31250.40,2008.00,900.87,2908.87
2005,Oregon,0.10,34253.34,2422.33,997.83,3420.16
2005,Pennsylvania,0.11,36972.50,2834.38,1035.55,3869.93
2005,Rhode Island,0.11,38298.63,2977.86,1284.86,4262.72
2005,South Carolina,0.09,30212.96,1829.74,873.10,2702.84
2005,South Dakota,0.08,34496.13,1498.80,1104.64,2603.44
2005,Tennessee,0.08,32882.51,1587.63,875.46,2463.09
2005,Texas,0.08,34475.95,1870.22,830.73,2700.95
2005,Utah,0.10,30895.47,2227.12,960.86,3187.98
2005,Vermont,0.11,36788.22,2855.62,1208.20,4063.82
2005,Virginia,0.10,41623.50,2852.43,1231.75,4084.18
2005,Washington,0.09,41558.40,2681.03,1222.60,3903.63
2005,West Virginia,0.10,26417.81,1793.93,732.56,2526.49
2005,Wisconsin,0.11,36392.42,2996.72,974.38,3971.10
2005,Wyoming,0.07,41705.76,1307.26,1633.53,2940.79
2004,Alabama,0.09,28215.76,1678.73,775.90,2454.63
2004,Alaska,0.05,35491.76,1053.33,856.77,1910.10
2004,Arizona,0.09,31036.69,1961.94,839.53,2801.47
2004,Arkansas,0.10,26436.93,1847.93,671.63,2519.56
2004,California,0.11,38214.37,3158.55,847.96,4006.51
2004,Colorado,0.09,38306.94,2396.03,1017.89,3413.92
2004,Connecticut,0.12,48681.94,3994.24,1677.99,5672.23
2004,Delaware,0.09,37779.25,2168.32,1221.17,3389.49
2004,District of Columbia,0.12,46836.18,3837.67,1547.16,5384.83
2004,Florida,0.09,35327.48,2189.27,965.33,3154.60
2004,Georgia,0.09,32225.86,2179.55,810.77,2990.32
2004,Hawaii,0.10,34209.29,2546.32,829.88,3376.20
2004,Idaho,0.10,29429.28,2066.92,877.49,2944.41
2004,Illinois,0.10,37630.43,2775.65,936.30,3711.95
2004,Indiana,0.09,30914.75,2001.26,762.68,2763.94
2004,Iowa,0.09,31339.48,2120.86,831.00,2951.86
2004,Kansas,0.10,31993.20,2280.69,937.16,3217.85
2004,Kentucky,0.10,27536.63,2026.71,690.41,2717.12
2004,Louisiana,0.09,26708.82,1693.38,641.43,2334.81
